\textbf{Office Zone Settings},,,
Office Envelope              ,Internal Walls: Adiabatic             ,,
,Window: Double Glazed U=1.1$W/m^2$    ,,
,External Wall: U=0.2$W/m^2$           ,,
Daylighting Variables,G-value: 0.89,,
,Maintenance Factor: 0.9,,
,Utilisation Factor: 0.6,,
Calculated Conductances      ,$H_{ve}=39 W/K  $                     ,,
,$H_{w}=14.9 W/K $                     ,,
,$H_{em}=0.34 W/K$                     ,,
,$H_{is}=491 W/K $                     ,,
,$H_{ms}=780 W/K $                     ,,
Thermal Set Points           ,Heating: 22$^{\circ}$C                ,,
,Cooling: 26$^{\circ}$C                ,,
,Set-Back: 4$^{\circ}$C                ,,
Building System,Lighting Load: 11.8W/m$^2$            ,,
,Lighting Control: 300 lx Threshold    ,,
,COP Heating: 3,,
,COP Cooling: 4,,
Occupancy                    ,Office: Weekdays from 8:00-18:00      ,,
,Ventilation: 1.5 air changes per hour ,,
,Infiltration: 0.5 air changes per hour,,
,,,
\textbf{Location Assumptions},,,
Weather File                 ,"Zurich-Kloten, Switzerland 2015       ",,
Orientation                  ,South                                 ,,
,,,
,,,
,,,
,,,
$COP_{heating}$,$COP_{cooling}$,ASF vs No Shading,ASF vs Static
,,($$kWh/year$$),($$kWh/year$$)
1,1,3750  (-70%),724  (-31%)
1,3,1370  (62%),670  (44%)
3,3,1560  (76%),120  (20%)
6,6,1190  (97%),145  (80%)
